項次,出入口名稱,出入口編號,經度,緯度,是否為無障礙用
234,國父紀念館站出口5,5,121.558002,25.041501,否
235,市政府站出口1,1,121.565459,25.041408,否
236,市政府站出口2,2,121.565062,25.040971,是
237,市政府站出口3,3,121.567149,25.040903,否
238,市政府站出口4,4,121.567181,25.041263,否
239,永春站出口1,1,121.57512,25.040995,否
240,永春站出口2,2,121.575383,25.040704,否
241,永春站出口3,3,121.576155,25.040704,否
242,永春站出口4,4,121.576574,25.040699,否
243,永春站出口5,5,121.576622,25.040961,是
244,後山埤站出口1,1,121.58141,25.044422,否
245,後山埤站出口2,2,121.581854,25.043703,否
246,後山埤站出口3,3,121.583277,25.045232,是
247,後山埤站出口4,4,121.582441,25.045653,否
248,昆陽站出口1,1,121.592726,25.050319,否
249,昆陽站出口2,2,121.592825,25.050402,否
250,昆陽站出口3,3,121.59363,25.050599,否
251,昆陽站出口4,4,121.593799,25.050572,是
252,南港站出口1,1,121.606357,25.051911,否
253,南港站出口2,2,121.60743,25.052025,是
254,象山站出口1,1,121.569394,25.033025,是
255,象山站出口2,2,121.5697238,25.0329805,是
256,象山站出口3,3,121.5707015,25.032971,否
257,台北101/世貿站出口1,1,121.561671,25.033107,否
258,台北101/世貿站出口2,2,121.5619435,25.03284073,否
259,台北101/世貿站出口3,3,121.563646,25.032742,是
260,台北101/世貿站出口4,4,121.564112,25.033034,是
261,台北101/世貿站出口5,5,121.563292,25.033102,是
262,信義安和站出口1,1,121.552602,25.033377,否
263,信義安和站出口2,2,121.552332,25.033032,否
264,信義安和站出口2A,2A,121.552582,25.032848,是
265,信義安和站出口3,3,121.553282,25.033022,否
266,信義安和站出口4,4,121.5534,25.033022,否
267,信義安和站出口5,5,121.553526,25.033326,是
268,大安森林公園站出口1,1,121.534442,25.033693,否
269,大安森林公園站出口2,2,121.534487,25.033391,否
270,大安森林公園站出口3,3,121.534882,25.033396,否
271,大安森林公園站出口4,4,121.535292,25.033391,是
272,大安森林公園站出口5,5,121.535989,25.033369,是
273,大安森林公園站出口6,6,121.535952,25.033654,是
274,輔大站出口1,1,121.435264,25.032932,是
275,輔大站出口2,2,121.435277,25.032315,是
276,輔大站出口3,3,121.436541,25.032776,否
277,輔大站出口4,4,121.436534,25.0330162,否
278,新莊站出口1,1,121.4524435,25.03630271,是
279,新莊站出口2,2,121.4525,25.036014,是
280,頭前庄站出口1,1,121.460303,25.039844,是
281,頭前庄站出口2,2,121.460931,25.039068,否
282,頭前庄站出口3,3,121.462247,25.039853,否
283,頭前庄站出口4,4,121.462344,25.04022,否
284,先嗇宮站出口1,1,121.471319,25.046497,是
285,先嗇宮站出口2,2,121.4711596,25.0460821,否
286,先嗇宮站出口3,3,121.471789,25.04629545,否
287,三重站出口1,1,121.4833034,25.05535171,是
288,三重站出口2,2,121.4844522,25.05561671,否
289,三重站出口3,3,121.4849832,25.05613362,否
290,菜寮站出口1,1,121.490673,25.05971,否
291,菜寮站出口2,2,121.491106,25.059287,是
292,菜寮站出口3,3,121.492111,25.060556,否
293,台北橋站出口,0,121.500281,25.062966,是
294,大橋頭站出口1,1,121.512319,25.06318,是
295,大橋頭站出口1A,1A,121.5117348,25.06333204,否
296,大橋頭站出口2,2,121.513258,25.063195,否
297,大橋頭站出口3,3,121.51344,25.063739,否
298,中山國小站出口1,1,121.526095,25.06284,否
299,中山國小站出口2,2,121.526148,25.062461,否
300,中山國小站出口3,3,121.527114,25.062476,否
301,中山國小站出口4,4,121.526835,25.062835,是
302,行天宮站出口1,1,121.533047,25.05810168,否
303,行天宮站出口2,2,121.533342,25.058792,是
304,行天宮站出口3,3,121.533393,25.059868,否
305,行天宮站出口4,4,121.532991,25.060365,否
306,東門站出口1,1,121.527994,25.034157,否
307,東門站出口2,2,121.527565,25.03422,否
308,東門站出口3,3,121.527854,25.033676,否
309,東門站出口4,4,121.528879,25.033646,否
310,東門站出口5,5,121.529506,25.033564,否
311,東門站出口6,6,121.529957,25.033924,否
312,東門站出口7,7,121.529678,25.033962,否
313,東門站出口8,8,121.528965,25.034074,是
314,蘆洲站出口1,1,121.4647333,25.0913266,否
315,蘆洲站出口2,2,121.4648924,25.0917076,是
316,蘆洲站出口3,3,121.4642624,25.0918704,否
317,三民高中站出口1,1,121.472542,25.085494,是
318,三民高中站出口2,2,121.473739,25.085791,否
319,徐匯中學站出口1,1,121.47988,25.080303,否
320,徐匯中學站出口2,2,121.480583,25.080332,是
321,三和國中站出口1,1,121.486398,25.076586,是
322,三和國中站出口2,2,121.486462,25.0767991,否
323,三重國小站出口,0,121.496656,25.070536,是
324,迴龍站出口1,1,121.411269,25.02182108,是
325,迴龍站出口2,2,121.41077,25.02118,否
326,迴龍站出口3,3,121.4125638,25.0225398,否
327,丹鳳站出口1,1,121.4221819,25.0289618,否
328,丹鳳站出口2,2,121.422615,25.028742,是
329,南京復興站出口1,1,121.542121,25.052625,是
330,南京復興站出口2,2,121.541863,25.051748,是
331,南京復興站出口3,3,121.543087,25.05178085,否
332,南京復興站出口4,4,121.5431633,25.0517841,否
333,南京復興站出口5,5,121.544338,25.051727,否
334,南京復興站出口6,6,121.5449255,25.05195456,否
335,南京復興站出口8,8,121.543819,25.052018,否
336,南京復興站出口7,7,121.5445925,25.0524873,是
337,中山站出口1,1,121.520303,25.052414,否
338,中山站出口4,4,121.520306,25.052858,是
339,中山站出口2,2,121.521063,25.052382,否
340,中山站出口3,3,121.521154,25.052611,否
341,中山站出口5,5,121.519329,25.053037,是
342,中山站出口6,6,121.519007,25.052833,是
343,西門站出口1,1,121.507566,25.042137,否
344,西門站出口2,2,121.508435,25.041545,否
345,西門站出口3,3,121.508888,25.041789,否
346,西門站出口4,4,121.509006,25.042203,是
347,西門站出口5,5,121.508789,25.042935,否
348,西門站出口6,6,121.507602,25.042573,是
349,松江南京站出口1,1,121.532388,25.051842,是
350,松江南京站出口2,2,121.532875,25.051342,是
351,松江南京站出口3,3,121.53287,25.051085,否
352,松江南京站出口4,4,121.53324,25.051624,否
353,松江南京站出口5,5,121.534081,25.051882,否
354,松江南京站出口6,6,121.533727,25.052095,否
355,松江南京站出口7,7,121.533195,25.05247,否
356,松江南京站出口8,8,121.532826,25.05257,是
357,北門站出口1,1,121.5099865,25.04886092,否
358,北門站出口2,2,121.510506,25.049583,是
359,北門站出口3,3,121.510227,25.049943,是
360,台北小巨蛋站出口1,1,121.55153,25.051836,是
361,台北小巨蛋站出口2,2,121.550715,25.051571,是
362,台北小巨蛋站出口3,3,121.552549,25.05152,是
363,台北小巨蛋站出口4,4,121.552898,25.051534,否
364,台北小巨蛋站出口5,5,121.552069,25.051838,否
365,南京三民站出口1,1,121.563196,25.051545,是
366,南京三民站出口2,2,121.563073,25.051215,是
367,南京三民站出口3,3,121.564595,25.051328,否
368,南京三民站出口4,4,121.56471,25.051588,否
369,松山站出口1,1,121.577022,25.050171,否
370,松山站出口2,2,121.576244,25.050171,否
371,松山站出口3,3,121.577533,25.049939,是
372,松山站出口4,4,121.577971,25.049799,否
373,松山站出口5,5,121.577782,25.050559,是
374,十四張站出口,0,121.527701,24.984467,是
375,秀朗橋站出口1,1,121.5253895,24.99053445,否
376,秀朗橋站出口2,2,121.52494,24.99054002,是
377,景平站出口,0,121.5165532,24.9919681,是
378,中和站出口,0,121.4964906,25.00221178,是
379,橋和站出口,0,121.4904608,25.0044131,是
380,中原站出口,0,121.4841593,25.0084104,是
381,板新站出口,0,121.4722124,25.0144914,是
382,板橋站出口4,4,121.464938,25.015105,是
383,板橋站出口5,5,121.464312,25.015502,是
384,新埔民生站出口,0,121.466839,25.026125,是
385,幸福站出口1,1,121.460146,25.050126,是
386,幸福站出口2,2,121.4602357,25.04975928,否
387,新北產業園區站出口,0,121.4599257,25.0615483,是
